#,Time,Qx,Qy,Qz,Mx,My,Mz,Wx,Wy,Wz
0.825,-110177,0.0000000000000106608,9069.52,9.34675E-036,-2.52839E-018,1.44601E-035,-56.0197,9.90046E-016,-28.8284,
0.826,-110266,0.0000000000000105269,9610.75,9.41935E-036,-2.52839E-018,1.4413E-035,-56.1249,9.90096E-016,-29.0221,
0.827,-110352,0.0000000000000103922,10152.6,9.49168E-036,-2.52839E-018,1.43656E-035,-56.2309,9.90147E-016,-29.215,
0.828,-110435,0.0000000000000102565,10695.1,4.04056E-036,-1.08036E-018,-1.35166E-035,-56.3377,9.90198E-016,-29.4071,
0.829,-110516,0.00000000000001012,11238.1,3.97706E-036,-1.08036E-018,-1.35366E-035,-56.4452,9.90249E-016,-29.5984,
0.83,-110594,9.98256E-015,11781.8,-1.729E-035,3.67666E-019,-2.49526E-036,-56.5535,9.90299E-016,-29.7889,
0.831,-110670,9.84431E-015,12325.9,-4.32092E-036,-1.08036E-018,2.91479E-037,-56.6626,9.9035E-016,-29.9787,
0.832,-110743,9.70521E-015,12870.7,9.77667E-036,3.67666E-019,3.03042E-036,-56.7724,9.904E-016,-30.1676,
0.833,-110813,9.56527E-015,13415.9,9.79057E-036,3.67666E-019,2.98393E-036,-56.883,9.9045E-016,-30.3558,
0.834,-110880,9.4245E-015,13961.6,1.63309E-035,3.67666E-019,-1.09178E-035,-56.9944,9.90501E-016,-30.5431,
0.835,-110945,9.2829E-015,14507.8,1.62781E-035,-1.08036E-018,-1.09953E-035,-57.1064,9.90551E-016,-30.7297,
0.836,-111008,9.14049E-015,15054.5,1.62258E-035,-1.08036E-018,-1.10736E-035,-57.2192,9.90601E-016,-30.9154,
0.837,-111068,8.99727E-015,15601.5,1.15202E-035,-1.08036E-018,1.9372E-035,-57.3327,9.90651E-016,-31.1003,
0.838,-111125,8.85325E-015,16149,1.16125E-035,-1.08036E-018,1.93162E-035,-57.4469,9.907E-016,-31.2844,
0.839,-111179,8.70844E-015,16697,8.40349E-037,3.67666E-019,1.95462E-035,-57.5619,9.9075E-016,-31.4676,
0.84,-111231,8.56285E-015,17245.2,-7.38952E-036,3.67666E-019,-8.40371E-036,-57.6775,9.90799E-016,-31.6501,
0.841,-111280,8.41649E-015,17793.9,-7.43093E-036,-1.08036E-018,-8.36832E-036,-57.7938,9.90849E-016,-31.8317,
0.842,-111327,8.26936E-015,18342.9,-4.7202E-036,3.67666E-019,1.5161E-035,-57.9108,9.90898E-016,-32.0124,
0.843,-111371,8.12147E-015,18892.2,1.59552E-036,3.67666E-019,1.806E-035,-58.0285,9.90947E-016,-32.1924,
